24,เท่าไหร่ไม่จำ,Potato,62101,https://open.spotify.com/track/5zRMhQ21pWGN0rPxAS4QkI
25,"Eastside (with Halsey & Khalid)","benny blanco",60898,https://open.spotify.com/track/0d2iYfpKoM0QCKvcLCkBao
26,"Thru These Tears",LANY,59586,https://open.spotify.com/track/4gB61mP4tNChn4LgfquMhi
27,พอจะรู้,meyou.,57115,https://open.spotify.com/track/4p4SOBQ0fxHYluEcba6Xrq
28,"Galaxy (feat. Kob The X Factor)","D Gerrard",57074,https://open.spotify.com/track/0yO5RrszdEpqXhDwyhP6nX
29,"Power Up","Red Velvet",55720,https://open.spotify.com/track/381g0b6QZxC13SzA2HRMIc
30,2002,Anne-Marie,54388,https://open.spotify.com/track/6SFStUDQZNaGPKWOx9ZiJB
31,แอบบอกรัก,Jaonaay,50341,https://open.spotify.com/track/1xJP5BQBwQRl59B6EGcujF
32,ไม่ตอบ,UrboyTJ,49699,https://open.spotify.com/track/2MezCXpLYYWcShseflM6NB
33,"คิดถึงจัง (มาหาหน่อย)","Oat Pramote",49335,https://open.spotify.com/track/63quSq4p0NagZdZI3ttb4f
34,Escape,"Moving and Cut",49318,https://open.spotify.com/track/3QNcZFnVawSjecRnWDd15O
35,Rise,"Jonas Blue",48863,https://open.spotify.com/track/3u1S1OmAUhx5DRlLrXqyp3
36,ฟัง,SIN,48278,https://open.spotify.com/track/6RjwqDSAllo8d9EfDEK5IV
37,"Aow La Woii","Twopee Southside",47189,https://open.spotify.com/track/5CVG6LsBNhEkDpVzXOaqMq
38,"I'm Ok","Peck Palitchoke",46894,https://open.spotify.com/track/5tW7B5huLVxffQAHEZ3lCO
39,"LOVE SCENARIO",iKON,46185,https://open.spotify.com/track/6qAzAmPBUpGrk7XADZHR5k
40,จูบ,Illslick,44479,https://open.spotify.com/track/6RvSPE7NJCkzSrc7rn5OOC
41,"Bye Bye",P-Hot,44293,https://open.spotify.com/track/08oX4H0Td1Fza9eBXzmojN
42,"REALLY - KR Ver.",BLACKPINK,44232,https://open.spotify.com/track/7AWtaOSb7cgi16wJr3mkuf
43,Darkside,"Alan Walker",44078,https://open.spotify.com/track/1snWlbcbgQpJfknoI30DWG
44,ไม่มีเธอไม่ตาย,"Gam Wichayanee",43891,https://open.spotify.com/track/6mUclBcqOp65gflMeu2UWR
45,"Beautiful (feat. Camila Cabello)",Bazzi,41822,https://open.spotify.com/track/4VUwkH455At9kENOfzTqmF
